Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
59,0.00024540895714590536,1.0313,81.44,74.86,81.28,77.53,94.83,75.29,73.12,88.26,88.24
60,0.00024523524228123317,1.0270,81.34,74.68,81.17,77.35,94.84,75.13,73.75,88.18,88.24
61,0.00024505836818418316,1.0218,81.38,74.50,81.39,77.46,94.88,75.15,73.75,88.10,88.24
62,0.0002448783397038481,1.0216,81.39,74.77,81.28,77.56,94.97,75.10,73.12,88.10,88.24
63,0.00024469516177579964,1.0159,81.55,74.90,81.39,77.71,95.04,75.34,72.71,88.43,94.12
64,0.0002445088394219532,1.0186,81.51,74.59,81.39,77.60,95.06,75.29,74.17,88.10,88.24
65,0.0002443193777504304,1.0178,81.60,74.99,81.39,77.67,95.13,75.40,73.54,88.26,88.24
66,0.00024412678195541844,1.0124,81.67,74.68,81.56,77.38,95.18,75.64,74.38,88.18,88.24
67,0.00024393105731702848,1.0072,81.68,75.39,81.36,77.13,95.15,75.66,74.38,88.10,94.12
68,0.0002437322092011503,1.0197,81.72,75.43,81.53,77.31,95.23,75.59,73.12,88.43,94.12
69,0.00024353024305930545,1.0176,81.63,75.21,81.62,77.28,95.23,75.43,72.29,88.51,88.24
70,0.00024332516442849775,1.0113,81.64,74.99,81.70,77.46,95.22,75.43,72.92,88.18,88.24
71,0.00024311697893106144,1.0123,81.72,74.94,81.67,77.74,95.13,75.70,72.50,88.02,88.24
72,0.00024290569227450708,1.0035,81.66,74.68,81.95,77.49,95.09,75.51,73.12,88.18,94.12
73,0.00024269131025136508,0.9973,81.69,74.72,81.84,77.60,95.16,75.46,73.75,88.68,94.12
74,0.00024247383873902698,1.0118,81.73,74.81,81.95,77.85,95.16,75.37,74.38,88.68,94.12
75,0.00024225328369958412,1.0021,81.66,74.77,81.62,77.67,95.18,75.41,74.58,88.43,94.12
76,0.0002420296511796642,0.9989,81.68,75.03,81.28,77.53,95.27,75.58,73.75,88.26,94.12
77,0.00024180294731026588,0.9943,81.80,75.03,81.64,77.53,95.29,75.67,74.38,88.60,94.12
78,0.00024157317830659017,1.0075,81.74,75.25,81.22,77.46,95.39,75.63,74.38,88.35,88.24
79,0.0002413403504678704,0.9913,81.67,75.30,81.53,77.49,95.45,75.22,74.79,88.43,88.24
80,0.00024110447017719938,0.9998,81.82,75.43,81.84,77.53,95.45,75.52,74.38,88.26,88.24
81,0.00024086554390135442,1.0130,81.90,75.34,81.98,77.53,95.47,75.59,75.21,88.60,88.24
82,0.00024062357819062006,0.9962,81.93,75.61,82.01,77.56,95.50,75.57,75.00,88.60,94.12
83,0.00024037857967860855,0.9921,81.94,75.61,82.04,77.35,95.47,75.66,75.21,88.68,88.24
84,0.00024013055508207773,0.9858,81.90,75.56,82.07,77.88,95.43,75.48,74.38,88.35,94.12
85,0.00023987951120074734,0.9938,81.87,75.21,81.95,77.85,95.50,75.49,75.00,88.18,94.12
86,0.0002396254549171121,0.9860,81.91,75.39,82.01,77.81,95.41,75.62,75.00,88.10,94.12
87,0.00023936839319625342,0.9935,81.84,75.03,81.84,77.71,95.39,75.57,75.62,88.18,94.12
88,0.00023910833308564823,1.0003,81.78,75.03,81.70,77.74,95.29,75.46,75.83,88.60,88.24
89,0.0002388452817149758,0.9926,81.90,74.81,82.04,77.56,95.34,75.68,75.62,89.09,88.24
90,0.00023857924629592234,0.9952,81.93,75.12,82.07,77.60,95.31,75.78,75.00,88.84,88.24
91,0.0002383102341219833,0.9804,81.91,75.03,82.18,77.92,95.41,75.62,74.58,88.26,88.24
92,0.00023803825256826325,0.9896,81.93,75.39,81.95,77.99,95.43,75.63,74.58,88.26,88.24
93,0.00023776330909127386,0.9810,81.97,75.92,81.50,78.39,95.48,75.62,75.21,88.18,88.24
94,0.00023748541122872954,0.9883,82.02,76.36,81.84,78.31,95.48,75.49,75.62,88.26,88.24
95,0.00023720456659934053,0.9745,82.01,76.01,81.90,78.06,95.59,75.57,75.00,88.26,88.24
96,0.00023692078290260413,0.9797,81.98,75.87,81.81,77.92,95.55,75.65,74.79,88.18,88.24
97,0.00023663406791859387,0.9695,82.08,76.01,81.67,77.81,95.68,75.89,74.58,88.35,88.24
98,0.00023634442950774576,0.9902,82.08,75.79,81.62,77.49,95.73,76.13,74.38,87.77,88.24
99,0.00023605187561064324,0.9742,82.01,75.79,81.50,77.49,95.66,75.98,73.96,88.18,94.12
100,0.00023575641424779904,0.9769,82.12,76.01,81.62,77.56,95.66,76.17,74.58,87.93,94.12
101,0.00023545805351943584,0.9772,82.08,76.05,81.45,77.88,95.73,76.01,73.75,88.02,94.12
102,0.00023515680160526362,0.9688,82.11,76.32,81.81,77.60,95.70,76.00,73.75,88.02,94.12
103,0.00023485266676425586,0.9714,82.03,76.23,81.53,77.63,95.71,75.83,73.75,88.35,94.12
104,0.00023454565733442274,0.9793,82.05,76.10,81.93,77.35,95.70,75.82,74.38,88.35,94.12
105,0.00023423578173258297,0.9658,82.12,75.96,81.90,77.46,95.79,76.03,73.75,88.10,100.00
106,0.00023392304845413264,0.9676,81.99,76.32,81.53,77.31,95.84,75.71,74.17,88.18,100.00
107,0.0002336074660728126,0.9699,82.08,76.63,81.59,77.24,95.82,75.89,74.58,88.10,100.00
108,0.00023328904324047324,0.9622,82.04,75.87,81.45,77.13,95.86,76.07,75.21,87.60,100.00
109,0.00023296778868683738,0.9667,82.01,75.79,81.31,77.21,95.87,76.01,75.00,87.93,100.00
110,0.0002326437112192608,0.9629,82.04,76.41,81.31,77.24,95.82,75.96,74.38,88.02,100.00
111,0.00023231681972249107,0.9653,82.01,76.41,81.28,76.88,95.93,75.94,75.21,87.77,100.00
112,0.00023198712315842369,0.9599,81.93,75.74,81.50,76.85,95.84,75.85,74.79,87.85,100.00
113,0.00023165463056585648,0.9671,81.95,76.27,81.50,76.99,95.71,75.86,74.79,87.52,100.00
114,0.00023131935106024182,0.9644,81.99,76.10,81.56,77.38,95.82,75.81,74.17,87.77,100.00
115,0.00023098129383343675,0.9615,82.04,75.83,81.56,77.31,95.87,75.94,74.38,88.02,100.00
116,0.0002306404681534509,0.9532,81.99,75.96,81.31,77.46,95.82,75.88,74.17,88.02,100.00
117,0.00023029688336419246,0.9674,82.01,76.32,81.34,77.21,95.82,75.86,74.58,88.35,100.00
118,0.00022995054888521195,0.9539,81.99,76.18,81.28,77.17,95.89,75.89,73.75,88.10,100.00
119,0.0002296014742114441,0.9703,81.97,76.27,81.42,77.17,95.86,75.78,73.33,88.18,100.00
120,0.0002292496689129474,0.9624,81.93,76.18,81.39,77.06,95.84,75.66,73.75,88.60,100.00
121,0.00022889514263464187,0.9579,82.01,76.27,81.53,77.24,95.87,75.67,73.75,89.01,100.00
122,0.00022853790509604448,0.9624,81.97,76.01,81.34,77.28,95.77,75.77,73.54,89.17,100.00
123,0.0002281779660910028,0.9529,82.03,76.63,81.36,77.49,95.82,75.79,72.92,88.60,94.12
124,0.0002278153354874265,0.9516,81.91,76.23,81.28,77.56,95.70,75.63,73.33,88.51,94.12
125,0.00022745002322701677,0.9582,82.09,76.76,81.45,77.85,95.77,75.85,73.12,88.18,100.00
