epoch,train_loss,eval_loss,train_acc,eval_acc
5,1.060588733246294,1.0820619059726224,0.6476027806549279,0.7185643070787637
10,0.9477703644359133,0.9438351578417709,0.6812753963827584,0.7817347956131605
15,0.8820535444081157,0.9453304051402084,0.6989084535096804,0.7799401794616152
20,0.8227842466098533,0.9052076018866846,0.72542526491913,0.7998404785643071
25,0.7723621152452373,0.9271324742351429,0.7343239582503386,0.7919441674975075
30,0.7301740240608113,0.9510941924435548,0.7555324276950044,0.7843270189431705
35,0.6861939119557519,0.9353012769790375,0.7631015456935702,0.7996410767696909
40,0.6381931917267144,0.9673033713676399,0.7925513903274639,0.7896709870388834
45,0.620693400693352,0.9661251370738059,0.8025207154808381,0.7998005982053839
50,0.5826151918418929,0.9845410965732183,0.8035813879372161,0.7932203389830509
55,0.5683783403944375,0.9684470548658285,0.819366982710541,0.8049850448654038
60,0.5466656504318672,1.0058869433046458,0.8169767349215202,0.8009970089730808
65,0.5316013868358845,0.9496736261328814,0.8321249302844395,0.8074975074775673
70,0.5127552809202189,1.015620841090962,0.8341566409051072,0.8065403788634098
75,0.49614306756979193,0.9822597631975518,0.8424478129232731,0.8064606181455634
80,0.5017725298741113,0.9823484791501806,0.8262837622500199,0.8007577268195414
85,0.48445851870166684,1.0268537826290873,0.8329764560592782,0.8051046859421734
90,0.47480967569404386,0.956911903062347,0.8440213927177117,0.8119242273180458
95,0.4607503822021547,1.029704939130534,0.8536919368974584,0.809531405782652
100,0.4604487638983173,1.0218164584572507,0.8526312644410804,0.8076969092721834
105,0.4619695000862773,1.0176183568183352,0.8631632937614533,0.8100498504486541
110,0.4532390118129661,0.9693463176459163,0.8551609433511274,0.8087736789631107
115,0.4505642415655437,1.036387582512225,0.8474673332802167,0.8102891326021934
120,0.44484741494870456,1.0306377524606964,0.8563012907338061,0.8109272183449651
125,0.44475341026986814,0.9687598893530704,0.8559477332483467,0.8115653040877367
130,0.4332583306980422,1.0490083842786218,0.8586517010596765,0.8119641076769691
135,0.42693899505053484,1.020515410037245,0.8698510078878177,0.8150348953140578
140,0.43089387500136983,0.9859544468306354,0.8728089395267309,0.8160717846460618
145,0.41798807890631173,1.036570097703639,0.8710809895625846,0.8155932203389831
150,0.4230913459784519,0.9607640577527367,0.8723358696518205,0.8145164506480558
155,0.4143362819326892,0.9763821270316096,0.8705581228587363,0.8162313060817548
160,0.3998775774715868,0.9716055435150238,0.8721665604334315,0.8145164506480558
165,0.4096506990462069,0.9637852976899798,0.8815731814198072,0.8167497507477567
170,0.41225669063160536,0.9639654705816822,0.8783812046848857,0.8156331006979063
175,0.40829343661047357,0.9840955347767618,0.8818221655644969,0.8170289132602193
180,0.4073144319845608,0.996169642068572,0.8581288343558282,0.8183848454636091
185,0.4061652137035298,0.9635712663625792,0.8805125089634293,0.815234297108674
190,0.41234276334314873,0.9947538670514183,0.869532308182615,0.8171086739780659
195,0.4016704258121121,1.044291866129916,0.8702493825193212,0.8167098703888335
200,0.3993041979992079,0.981652949559962,0.8765038642339256,0.8169890329012961
