Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
59,0.0009810619482268595,1.1186,81.03,73.93,81.42,78.14,94.19,74.52,73.96,88.02,82.35
60,0.0009803453744100868,1.1246,81.07,73.93,81.42,78.14,94.20,74.63,74.38,87.77,82.35
61,0.0009796157687597556,1.1114,81.08,73.62,81.28,77.88,94.27,74.74,74.79,88.26,82.35
62,0.0009788731512783732,1.1210,81.11,73.79,81.17,77.99,94.38,74.73,74.58,88.35,82.35
63,0.0009781175423251734,1.1250,81.04,73.79,81.28,77.71,94.42,74.52,74.79,88.35,88.24
64,0.000977348962615557,1.1192,81.07,73.79,81.45,77.71,94.38,74.61,73.96,88.35,88.24
65,0.0009765674332205252,1.1106,81.19,73.84,81.25,78.06,94.38,74.83,74.38,88.84,88.24
66,0.0009757729755661011,1.1123,81.25,74.10,81.31,78.14,94.40,74.85,75.00,88.60,88.24
67,0.0009749656114327425,1.1131,81.31,74.37,81.36,77.99,94.49,74.91,75.00,88.76,88.24
68,0.000974145362954745,1.1197,81.34,74.19,81.28,78.31,94.38,75.05,74.79,88.84,82.35
69,0.0009733122526196349,1.1175,81.40,74.55,81.31,78.31,94.51,75.06,73.75,89.01,82.35
70,0.0009724663032675533,1.1017,81.31,74.37,81.00,78.17,94.54,75.06,73.75,88.68,82.35
71,0.0009716075380906284,1.1090,81.31,73.97,81.28,78.10,94.58,75.08,74.38,88.18,82.35
72,0.0009707359806323416,1.1124,81.37,74.02,81.34,78.21,94.67,75.12,74.58,88.10,82.35
73,0.000969851654786881,1.1071,81.32,73.71,81.22,77.99,94.61,75.19,73.96,88.43,82.35
74,0.0009689545847984864,1.1185,81.34,73.71,81.11,78.14,94.61,75.29,73.75,88.35,76.47
75,0.0009680447952607845,1.1130,81.42,74.06,81.11,78.21,94.65,75.34,74.17,88.35,82.35
76,0.0009671223111161148,1.1006,81.44,74.15,81.17,78.03,94.61,75.45,73.75,88.35,82.35
77,0.0009661871576548467,1.1123,81.53,74.28,81.28,77.99,94.68,75.60,73.75,88.26,88.24
78,0.0009652393605146844,1.1012,81.47,74.19,81.11,78.10,94.63,75.51,73.33,88.51,82.35
79,0.0009642789456799654,1.1006,81.54,74.37,81.17,78.24,94.77,75.52,73.12,88.51,82.35
80,0.0009633059394809475,1.1044,81.51,74.06,81.00,78.10,94.75,75.65,73.12,88.51,82.35
81,0.000962320368593087,1.0995,81.46,74.24,81.03,77.88,94.75,75.52,73.12,88.51,82.35
82,0.0009613222600363078,1.1092,81.35,74.28,80.89,77.81,94.70,75.31,73.33,88.51,76.47
83,0.0009603116411742602,1.0955,81.45,74.55,81.08,77.88,94.68,75.41,73.33,88.60,76.47
