epoch,train_loss,eval_loss,train_acc,eval_acc
5,1.1142465671821662,1.1352320614127314,0.6296659628714844,0.6951944167497508
10,1.0370626169726647,1.083607022916807,0.6529509600828619,0.7156929212362911
15,1.0200894419087536,1.0565510271268257,0.6558889729902,0.729172482552343
20,0.9995887328187704,1.0075468184774443,0.6681987491036571,0.7545762711864407
25,0.9887083808641188,1.0375359363807877,0.6666948848697315,0.7405782652043869
30,0.9895307363983967,1.1010037885848452,0.6711765994741455,0.7051645064805583
35,0.9821845030900482,1.0223244220119412,0.6687016970759302,0.7438085742771685
40,0.9689081838696841,1.025356682647142,0.6841387140466895,0.7479561316051845
45,0.9720094102415447,1.0187630708980655,0.6864144291291531,0.7433300099700897
50,0.957364263434627,0.9820386581620572,0.6804437893394949,0.7645862412761715
55,0.9592929667623363,1.0081955500804296,0.6879282527288663,0.752542372881356
60,0.9478183846560695,0.9869082258349045,0.684273165484822,0.7608374875373879
65,0.9440571608728416,1.0189038490797444,0.6917675882399809,0.7444865403788634
70,0.9317330510461865,0.9590635187984821,0.692245637797785,0.7736390827517448
75,0.9227602945439,0.9563682021600299,0.6966177993785356,0.7768693918245264
80,0.9238386019398307,0.9749298220878821,0.6844823121663612,0.7676171485543369
85,0.9046148293693268,0.9685400218193457,0.6901940084455422,0.7681754735792622
90,0.8937983864114138,0.9859587036790781,0.6988984941438929,0.761555333998006
95,0.8777383529050503,0.9359194416063258,0.7086188351525775,0.7854037886340977
100,0.8722636930002804,0.9321272993087768,0.7092761532945582,0.7884745762711864
105,0.8617004494906023,0.9337634951096113,0.7202663134411601,0.7886739780658026
110,0.8469310424383129,0.9912891522480745,0.7169398852681061,0.7633499501495513
115,0.8328792025640034,0.9185840332971613,0.7138475021910605,0.7976470588235294
120,0.8122559268582286,0.9305449620510264,0.727641223806868,0.7921435692921236
125,0.7953356099968345,0.9444380616285984,0.7326657238467055,0.7828115653040877
130,0.7654508565984469,0.9335101482352374,0.74224165405147,0.7932602193419741
135,0.7350741155393931,0.9217769177723026,0.7596755238626405,0.7964905284147558
140,0.7131690247468612,0.9256277781968578,0.7713927177117361,0.7988434695912263
145,0.6737157121026442,0.9159026729549511,0.7804208827981834,0.8039082751744766
150,0.6468585862000998,0.9410927977138835,0.7928053541550474,0.7958125623130609
155,0.6094380036292062,0.9059879944165231,0.802236873555892,0.8141176470588235
160,0.5669515016601149,0.9159691535535148,0.8154081348099753,0.8100498504486541
165,0.5474988724091036,0.9027969397600009,0.8353517647996176,0.8184646061814557
170,0.524066643851296,0.9146460729154015,0.8426918173850689,0.8158723828514457
175,0.5003695589034702,0.904680836324321,0.8536023026053701,0.8190628115653041
180,0.4834616484323656,0.8983733075280727,0.8375527846386742,0.8231306081754736
185,0.4698950926052813,0.8981050906295434,0.8635616683929568,0.8248454636091724
190,0.46695536888887107,0.8924328814879253,0.8566100310732213,0.8266400797607178
195,0.45254085099029406,0.8991285523579104,0.8588010915464903,0.8258823529411765
200,0.4498947731014951,0.8893698844809832,0.864592462751972,0.8283948155533399
