Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
1,1e-06,2.2137,16.47,17.26,10.72,17.47,18.99,16.39,18.75,17.52,23.53
2,0.00020080000000000003,2.1074,14.80,16.73,9.23,9.15,18.05,16.09,13.54,16.69,17.65
3,0.0004006000000000001,1.8476,13.47,15.10,14.48,8.36,16.71,12.52,19.17,8.60,23.53
4,0.0006004000000000002,1.3933,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
5,0.0008002000000000002,1.2471,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
6,0.001,1.1985,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
7,0.000999984733034171,1.1640,15.87,20.67,14.23,0.04,16.79,19.21,15.42,20.33,17.65
8,0.000999938933078422,1.1420,15.88,20.81,14.23,0.04,16.79,19.21,15.42,20.33,17.65
9,0.0009998626029579104,1.1136,19.47,26.56,19.84,6.57,17.62,22.81,15.62,21.16,17.65
10,0.0009997557473810372,1.0929,33.17,37.89,38.76,27.58,27.12,36.16,28.96,29.42,29.41
11,0.000999618372939158,1.0808,46.58,45.02,53.49,43.19,42.28,48.19,45.62,45.87,41.18
12,0.0009994504881061753,1.0573,54.85,49.14,62.19,51.63,53.08,55.25,52.08,58.02,41.18
13,0.0009992521032380164,1.0543,59.75,51.97,67.05,58.31,59.23,59.21,56.25,64.05,47.06
14,0.0009990232305719944,1.0453,61.83,52.19,70.47,61.74,60.95,61.04,56.67,66.53,52.94
15,0.0009987638842260537,1.0360,62.99,52.06,72.58,63.24,61.31,62.38,58.12,68.93,52.94
16,0.0009984740801978985,1.0281,62.47,51.66,73.45,63.13,59.23,62.07,58.75,68.43,47.06
17,0.000998153836364006,1.0144,61.49,50.38,73.79,62.81,56.29,61.61,57.50,67.93,47.06
18,0.0009978031724785245,1.0097,61.32,49.00,76.42,64.17,53.59,61.90,56.46,67.27,41.18
19,0.0009974221101720546,1.0127,61.42,47.63,78.22,66.06,51.32,62.72,55.00,67.52,41.18
20,0.000997010672950314,0.9916,60.78,45.82,77.55,67.02,49.09,62.79,52.71,68.26,41.18
21,0.0009965688861926887,0.9959,59.76,44.36,76.73,67.02,46.71,62.33,51.88,67.44,41.18
22,0.0009960967771506667,0.9971,58.55,42.98,75.89,66.56,44.19,61.48,51.04,67.02,41.18
23,0.0009955943749461575,0.9928,57.89,42.63,75.50,66.52,42.66,60.93,50.62,66.78,41.18
24,0.000995061710569696,0.9870,57.08,41.83,75.08,66.35,41.32,59.91,49.58,67.36,41.18
25,0.0009944988168785298,0.9833,56.91,42.14,75.02,66.38,41.25,59.42,49.58,67.11,41.18
26,0.0009939057285945933,0.9780,57.28,42.41,75.44,66.52,41.93,59.74,49.58,67.11,41.18
27,0.0009932824823023652,0.9737,57.78,43.29,75.67,66.56,42.98,60.07,50.21,67.52,41.18
28,0.000992629116446613,0.9819,58.72,44.40,76.71,66.42,44.91,60.82,50.21,67.52,41.18
29,0.0009919456713300204,0.9697,59.88,45.55,77.10,66.60,48.17,61.27,51.88,68.35,47.06
30,0.000991232189110701,0.9760,61.27,47.41,77.41,67.20,51.42,61.94,52.71,70.41,52.94
31,0.0009904887137995992,0.9643,62.29,48.69,77.38,68.02,54.18,62.15,54.38,71.90,52.94
32,0.0009897152912577741,0.9659,63.54,49.89,77.46,68.74,57.86,62.53,55.62,72.98,52.94
33,0.0009889119691935714,0.9644,64.89,51.31,77.63,69.60,61.42,63.07,56.46,74.46,52.94
34,0.00098807879715968,0.9545,66.61,53.87,77.72,70.38,65.36,64.03,58.96,76.36,52.94
35,0.0009872158265500754,0.9598,67.80,55.29,78.11,71.35,68.30,64.33,61.25,77.85,52.94
36,0.00098632311059685,0.9498,68.90,56.93,77.97,71.81,71.32,64.87,62.08,78.35,52.94
37,0.0009854007043669285,0.9512,69.95,57.68,77.63,72.45,74.18,65.65,61.88,79.09,52.94
38,0.0009844486647586723,0.9470,71.31,59.72,78.11,73.38,76.97,66.36,63.75,80.41,52.94
39,0.000983467050498369,0.9431,72.72,61.66,77.88,74.85,79.77,67.40,65.62,81.57,52.94
40,0.00098245592213661,0.9384,74.11,63.39,78.39,75.67,82.63,68.36,67.92,82.23,52.94
41,0.0009814153420445552,0.9419,75.23,64.94,78.64,75.96,85.08,69.10,68.96,83.64,52.94
42,0.0009803453744100868,0.9470,76.18,66.49,78.36,76.38,86.95,70.02,68.54,84.63,58.82
43,0.000979246085233848,0.9398,76.97,67.51,78.64,76.81,88.28,70.73,70.21,85.04,58.82
44,0.0009781175423251734,0.9337,77.52,68.26,78.92,77.13,89.24,71.20,70.83,85.29,58.82
45,0.0009769598152979055,0.9369,78.17,69.28,79.15,77.24,90.36,71.83,71.25,85.79,58.82
46,0.0009757729755661011,0.9283,78.54,69.59,79.17,77.53,91.16,72.18,71.46,85.62,58.82
47,0.0009745570963396248,0.9171,79.04,70.43,79.03,77.67,91.75,72.83,71.67,86.69,64.71
48,0.0009733122526196349,0.9281,79.53,71.14,79.37,77.99,92.27,73.40,71.67,87.02,76.47
49,0.0009720385211939559,0.9342,79.91,71.76,79.71,78.14,92.76,73.79,71.88,87.02,76.47
50,0.0009707359806323416,0.9245,80.13,72.47,80.10,78.10,93.14,73.88,71.25,87.11,76.47
51,0.0009694047112816297,0.9241,80.35,72.78,80.24,78.39,93.40,74.00,72.08,87.44,76.47
52,0.0009680447952607845,0.9170,80.52,73.00,80.35,78.21,93.60,74.24,72.71,87.52,82.35
53,0.0009666563164558316,0.9189,80.77,73.31,80.52,78.39,93.83,74.55,73.12,87.69,82.35
54,0.0009652393605146844,0.9139,80.78,73.35,80.72,78.39,93.95,74.41,72.92,87.77,82.35
55,0.0009637940148418598,0.9124,80.93,73.26,80.91,78.49,94.15,74.58,73.33,87.85,94.12
56,0.000962320368593087,0.9083,81.01,73.40,81.14,78.49,94.17,74.68,72.71,87.93,94.12
57,0.0009608185126698081,0.9129,81.04,73.31,80.94,78.06,94.20,74.90,73.96,88.02,94.12
58,0.0009592885397135706,0.9138,81.06,73.09,81.06,78.39,94.24,74.88,73.33,87.93,100.00
59,0.0009577305441003138,0.9068,81.13,73.44,80.86,78.56,94.27,75.03,73.12,87.93,88.24
60,0.0009561446219345453,0.9213,81.25,73.75,81.08,78.42,94.54,75.13,73.33,87.36,94.12
61,0.0009545308710434153,0.9135,81.32,73.75,81.31,78.28,94.58,75.20,73.75,87.52,94.12
62,0.0009528893909706797,0.9088,81.27,73.62,81.48,78.14,94.56,75.13,73.54,87.19,94.12
63,0.0009512202829705616,0.9063,81.32,73.93,81.28,78.21,94.61,75.18,73.33,87.60,94.12
64,0.0009495236500015047,0.9101,81.38,74.02,81.06,78.46,94.72,75.29,73.33,87.44,94.12
65,0.0009477995967198224,0.8919,81.51,73.79,81.39,78.42,94.83,75.45,73.96,87.69,94.12
66,0.0009460482294732421,0.8957,81.53,73.84,81.45,78.39,94.84,75.38,74.58,88.10,94.12
67,0.0009442696562943453,0.8997,81.54,73.40,81.45,78.42,94.88,75.53,74.38,87.93,94.12
68,0.0009424639868939033,0.8929,81.54,73.66,81.34,78.21,94.90,75.55,73.96,88.10,94.12
69,0.0009406313326541104,0.8988,81.49,73.44,81.59,78.24,94.84,75.38,74.38,88.02,94.12
70,0.0009387718066217125,0.9015,81.47,73.88,81.42,78.17,94.99,75.25,74.38,87.85,94.12
71,0.0009368855235010347,0.8878,81.49,73.48,81.25,78.35,94.97,75.45,73.96,87.85,94.12
72,0.0009349725996469047,0.8907,81.47,73.17,81.08,78.39,95.04,75.46,74.38,87.69,94.12
73,0.0009330331530574767,0.8936,81.47,73.40,81.03,78.49,95.06,75.36,74.38,88.02,94.12
74,0.0009310673033669522,0.8830,81.47,73.48,80.97,78.39,95.09,75.36,74.38,87.93,94.12
75,0.0009290751718381996,0.8766,81.40,73.22,81.08,78.28,95.13,75.21,74.17,88.02,94.12
