Epoch,LR,Train Loss,Global Val Acc,Phase,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
46,0.0009757729755661011,0.9283,78.54,LDAM,69.59,79.17,77.53,91.16,72.18,71.46,85.62,58.82
47,0.0009745570963396248,0.9171,79.04,LDAM,70.43,79.03,77.67,91.75,72.83,71.67,86.69,64.71
48,0.0009733122526196349,0.9281,79.53,LDAM,71.14,79.37,77.99,92.27,73.40,71.67,87.02,76.47
49,0.0009720385211939559,0.9342,79.91,LDAM,71.76,79.71,78.14,92.76,73.79,71.88,87.02,76.47
50,0.0009707359806323416,0.9245,80.13,LDAM,72.47,80.10,78.10,93.14,73.88,71.25,87.11,76.47
51,0.0009694047112816297,0.9241,80.35,LDAM,72.78,80.24,78.39,93.40,74.00,72.08,87.44,76.47
52,0.0009680447952607845,0.9170,80.52,LDAM,73.00,80.35,78.21,93.60,74.24,72.71,87.52,82.35
53,0.0009666563164558316,0.9189,80.77,LDAM,73.31,80.52,78.39,93.83,74.55,73.12,87.69,82.35
54,0.0009652393605146844,0.9139,80.78,LDAM,73.35,80.72,78.39,93.95,74.41,72.92,87.77,82.35
55,0.0009637940148418598,0.9124,80.93,LDAM,73.26,80.91,78.49,94.15,74.58,73.33,87.85,94.12
56,0.000962320368593087,0.9083,81.01,LDAM,73.40,81.14,78.49,94.17,74.68,72.71,87.93,94.12
57,0.0009608185126698081,0.9129,81.04,LDAM,73.31,80.94,78.06,94.20,74.90,73.96,88.02,94.12
58,0.0009592885397135706,0.9138,81.06,LDAM,73.09,81.06,78.39,94.24,74.88,73.33,87.93,100.00
59,0.0009577305441003138,0.9068,81.13,LDAM,73.44,80.86,78.56,94.27,75.03,73.12,87.93,88.24
60,0.0009561446219345453,0.9213,81.25,LDAM,73.75,81.08,78.42,94.54,75.13,73.33,87.36,94.12
61,0.0009545308710434153,0.9135,81.32,LDAM,73.75,81.31,78.28,94.58,75.20,73.75,87.52,94.12
62,0.0009528893909706797,0.9088,81.27,LDAM,73.62,81.48,78.14,94.56,75.13,73.54,87.19,94.12
63,0.0009512202829705616,0.9063,81.32,LDAM,73.93,81.28,78.21,94.61,75.18,73.33,87.60,94.12
64,0.0009495236500015047,0.9101,81.38,LDAM,74.02,81.06,78.46,94.72,75.29,73.33,87.44,94.12
65,0.0009477995967198224,0.8919,81.51,LDAM,73.79,81.39,78.42,94.83,75.45,73.96,87.69,94.12
66,0.0009460482294732421,0.8957,81.53,LDAM,73.84,81.45,78.39,94.84,75.38,74.58,88.10,94.12
67,0.0009442696562943453,0.8997,81.54,LDAM,73.40,81.45,78.42,94.88,75.53,74.38,87.93,94.12
68,0.0009424639868939033,0.8929,81.54,LDAM,73.66,81.34,78.21,94.90,75.55,73.96,88.10,94.12
69,0.0009406313326541104,0.8988,81.49,LDAM,73.44,81.59,78.24,94.84,75.38,74.38,88.02,94.12
70,0.0009387718066217125,0.9015,81.47,LDAM,73.88,81.42,78.17,94.99,75.25,74.38,87.85,94.12
71,0.0009368855235010347,0.8878,81.49,LDAM,73.48,81.25,78.35,94.97,75.45,73.96,87.85,94.12
72,0.0009349725996469047,0.8907,81.47,LDAM,73.17,81.08,78.39,95.04,75.46,74.38,87.69,94.12
73,0.0009330331530574767,0.8936,81.47,LDAM,73.40,81.03,78.49,95.06,75.36,74.38,88.02,94.12
74,0.0009310673033669522,0.8830,81.47,LDAM,73.48,80.97,78.39,95.09,75.36,74.38,87.93,94.12
75,0.0009290751718381996,0.8766,81.40,LDAM,73.22,81.08,78.28,95.13,75.21,74.17,88.02,94.12
76,0.0009270568813552756,0.8877,81.43,LDAM,73.26,81.31,78.39,95.15,75.16,73.96,87.93,94.12
77,0.0009250125564158444,0.8798,81.41,LDAM,73.35,81.25,78.46,95.13,75.06,73.75,88.26,94.12
78,0.0009229423231234975,0.8800,81.45,LDAM,73.40,81.28,78.31,95.11,75.23,73.96,88.02,94.12
79,0.0009208463091799762,0.8899,81.50,LDAM,73.48,81.42,78.42,95.13,75.20,73.96,88.43,94.12
80,0.0009187246438772938,0.8791,81.47,LDAM,73.93,81.39,78.31,95.07,75.13,73.75,88.18,94.12
81,0.0009165774580897599,0.8751,81.51,LDAM,73.97,81.50,78.28,95.22,75.07,74.38,88.10,94.12
82,0.0009144048842659081,0.8871,81.52,LDAM,73.66,81.45,78.39,95.13,75.27,73.75,88.10,94.12
83,0.0009122070564203256,0.8802,81.52,LDAM,73.40,81.34,78.53,95.18,75.35,73.12,88.02,88.24
84,0.0009099841101253866,0.8778,81.50,LDAM,73.57,81.25,78.21,95.13,75.41,73.12,88.10,88.24
85,0.0009077361825028897,0.8753,81.56,LDAM,74.15,81.36,78.24,95.09,75.34,73.54,88.26,88.24
86,0.000905463412215599,0.8701,81.50,LDAM,74.15,81.28,78.31,95.20,75.14,73.75,88.02,88.24
87,0.0009031659394586918,0.8697,81.54,LDAM,74.32,81.25,78.24,95.31,75.14,74.17,88.02,88.24
88,0.0009008439059511099,0.8663,81.67,LDAM,74.59,81.39,78.28,95.41,75.29,74.17,88.18,88.24
89,0.0008984974549268175,0.8681,81.59,LDAM,74.41,81.50,78.03,95.34,75.27,73.96,87.77,88.24
90,0.0008961267311259666,0.8675,81.63,LDAM,74.50,81.50,78.24,95.32,75.31,73.75,87.77,88.24
91,0.0008937318807859687,0.8663,81.59,LDAM,73.84,81.39,78.17,95.31,75.36,73.75,88.35,88.24
92,0.0008913130516324732,0.8642,81.61,LDAM,74.06,81.56,78.14,95.34,75.34,73.54,88.02,88.24
93,0.0008888703928702562,0.8604,81.66,LDAM,74.10,81.64,78.17,95.36,75.38,73.96,88.02,88.24
94,0.0008864040551740157,0.8747,81.68,LDAM,74.37,81.59,78.46,95.32,75.31,73.54,88.18,94.12
95,0.0008839141906790787,0.8568,81.63,LDAM,74.37,81.34,78.39,95.32,75.31,73.75,88.10,94.12
96,0.0008814009529720154,0.8555,81.66,LDAM,74.32,81.39,78.24,95.39,75.37,73.96,88.10,94.12
97,0.000878864497081166,0.8513,81.77,LDAM,74.46,81.45,78.49,95.36,75.51,73.96,88.43,94.12
98,0.0008763049794670775,0.8533,81.73,LDAM,74.41,81.50,78.46,95.31,75.48,73.96,88.26,88.24
99,0.0008737225580128529,0.8541,81.67,LDAM,74.28,81.62,78.21,95.31,75.37,73.54,88.35,88.24
100,0.0008711173920144117,0.8616,81.63,LDAM,74.32,81.53,78.14,95.22,75.41,73.12,88.26,88.24
101,0.0008684896421706644,0.8537,81.64,LDAM,74.19,81.67,78.03,95.27,75.40,73.75,88.26,88.24
102,0.0008658394705735987,0.8484,81.57,LDAM,74.19,81.53,77.92,95.25,75.28,72.92,88.51,94.12
103,0.0008631670406982824,0.8472,81.64,LDAM,74.63,81.45,78.17,95.25,75.29,73.54,88.43,94.12
104,0.0008604725173927785,0.8443,81.64,LDAM,74.37,81.39,78.10,95.32,75.40,73.33,88.43,94.12
105,0.0008577560668679766,0.8565,81.71,LDAM,74.06,81.64,78.21,95.31,75.63,72.71,88.10,94.12
106,0.000855017856687341,0.8381,81.71,LDAM,74.15,81.39,78.24,95.34,75.66,72.50,88.18,88.24
107,0.0008522580557565737,0.8479,81.82,LDAM,74.28,81.95,78.39,95.25,75.70,73.12,88.26,88.24
108,0.0008494768343131955,0.8444,81.78,LDAM,74.19,81.70,78.10,95.38,75.70,73.54,88.18,88.24
109,0.0008466743639160464,0.8423,81.73,LDAM,74.32,81.87,77.71,95.29,75.66,73.96,87.85,94.12
110,0.0008438508174347009,0.8459,81.82,LDAM,74.77,81.95,77.63,95.25,75.85,73.75,87.60,94.12
111,0.0008410063690388063,0.8458,81.85,LDAM,74.94,81.81,77.71,95.27,75.89,73.96,87.60,100.00
112,0.0008381411941873378,0.8476,81.90,LDAM,74.90,81.79,77.78,95.32,75.97,73.96,87.69,100.00
113,0.0008352554696177769,0.8323,81.86,LDAM,74.59,81.87,77.63,95.32,76.00,73.33,87.69,100.00
114,0.0008323493733352077,0.8426,81.88,LDAM,74.46,81.76,78.03,95.38,75.96,73.12,87.85,100.00
115,0.0008294230846013381,0.8415,81.82,LDAM,74.28,81.93,77.67,95.27,75.95,73.33,87.93,94.12
116,0.000826476783923441,0.8330,81.80,LDAM,74.46,81.93,77.81,95.31,75.75,73.75,87.77,94.12
117,0.0008235106530432206,0.8315,81.74,LDAM,74.02,81.87,77.71,95.36,75.75,73.54,87.85,88.24
118,0.0008205248749256015,0.8231,81.77,LDAM,74.37,82.01,77.88,95.36,75.62,73.75,87.85,88.24
119,0.000817519633747442,0.8315,81.84,LDAM,73.97,81.93,78.03,95.34,75.87,74.17,88.10,88.24
120,0.0008144951148861742,0.8323,81.83,LDAM,74.10,81.87,78.06,95.38,75.82,73.75,87.93,88.24
121,0.0008114515049083679,0.8314,81.90,LDAM,74.06,81.81,78.28,95.47,75.98,73.54,87.77,88.24
122,0.0008083889915582234,0.8256,81.90,LDAM,73.93,82.15,78.03,95.47,75.94,73.96,87.77,88.24
123,0.0008053077637459899,0.8278,81.84,LDAM,74.19,82.01,78.10,95.39,75.77,73.96,87.85,88.24
124,0.0008022080115363127,0.8318,81.87,LDAM,74.06,82.07,78.14,95.47,75.79,73.75,87.93,88.24
125,0.0007990899261365092,0.8363,81.91,LDAM,74.24,82.07,78.21,95.48,75.78,74.17,88.10,88.24
126,0.0007959536998847743,0.8295,81.94,LDAM,73.97,82.23,78.14,95.50,75.89,73.75,88.10,88.24
127,0.0007927995262383161,0.8288,82.00,LDAM,74.32,82.21,78.28,95.50,75.93,73.96,88.10,88.24
128,0.0007896275997614229,0.8234,81.95,LDAM,74.32,82.26,78.21,95.45,75.86,73.54,88.02,88.24
129,0.0007864381161134607,0.8256,81.88,LDAM,74.15,82.35,77.99,95.50,75.66,73.96,88.18,94.12
130,0.0007832312720368048,0.8199,81.98,LDAM,74.46,82.21,78.14,95.61,75.81,73.96,88.10,94.12
131,0.0007800072653447032,0.8219,81.91,LDAM,74.28,82.18,77.99,95.54,75.77,73.75,88.18,94.12
132,0.0007767662949090753,0.8176,81.93,LDAM,74.06,81.95,78.10,95.61,75.88,73.12,88.26,100.00
133,0.0007735085606482438,0.8208,81.90,LDAM,73.93,81.95,78.14,95.64,75.87,72.92,88.02,100.00
134,0.0007702342635146033,0.8134,81.88,LDAM,74.02,81.93,78.17,95.64,75.77,73.12,88.18,94.12
135,0.0007669436054822243,0.8103,81.92,LDAM,74.15,82.01,78.28,95.68,75.68,73.54,88.43,94.12
136,0.0007636367895343947,0.8187,82.01,LDAM,74.59,82.01,78.35,95.64,75.86,73.12,88.26,94.12
137,0.0007603140196510985,0.8207,81.91,LDAM,74.46,81.98,77.81,95.63,75.85,72.71,88.18,94.12
138,0.0007569755007964338,0.8132,81.98,LDAM,74.59,81.95,77.88,95.70,75.98,72.71,88.02,94.12
139,0.0007536214389059694,0.8076,81.99,LDAM,74.24,81.84,78.21,95.75,75.93,73.54,88.35,94.12
140,0.0007502520408740418,0.8181,81.98,LDAM,74.19,82.15,78.21,95.80,75.77,73.12,88.26,94.12
141,0.0007468675145409927,0.8056,81.96,LDAM,73.97,82.09,78.24,95.87,75.78,72.50,88.26,94.12
142,0.000743468068680349,0.8063,81.98,LDAM,74.19,82.32,78.17,95.86,75.66,73.33,88.35,94.12
143,0.0007400539129859443,0.8075,81.95,LDAM,74.02,82.37,78.14,95.79,75.66,73.12,88.26,94.12
144,0.0007366252580589839,0.8051,81.98,LDAM,74.19,82.23,78.31,95.84,75.75,72.71,87.85,94.12
145,0.0007331823153950539,0.8039,82.04,LDAM,74.15,82.21,78.42,95.87,75.85,72.50,88.10,100.00
146,0.0007297252973710757,0.8073,81.99,LDAM,73.84,82.23,78.31,95.86,75.81,72.92,88.10,100.00
147,0.000726254417232205,0.8094,82.03,LDAM,73.62,82.15,78.31,95.89,76.00,72.92,88.18,94.12
148,0.0007227698890786779,0.8089,81.93,LDAM,73.35,82.12,78.17,95.86,75.88,73.12,87.93,94.12
149,0.0007192719278526049,0.7974,81.98,LDAM,73.48,82.09,78.28,95.89,75.94,73.12,88.02,94.12
150,0.000715760749324711,0.7950,82.02,LDAM,73.97,81.93,78.31,95.89,76.01,72.71,87.93,94.12
151,0.000712236570081027,0.7988,81.97,LDAM,74.19,81.87,77.96,95.96,75.90,72.50,88.10,94.12
152,0.0007086996075095289,0.8040,81.99,LDAM,74.28,81.95,77.92,96.00,75.87,72.50,88.10,100.00
153,0.0007051500797867287,0.7908,81.98,LDAM,74.06,82.04,78.10,96.03,75.74,72.29,88.43,100.00
154,0.0007015882058642164,0.7858,81.98,LDAM,74.32,82.04,77.96,96.02,75.74,72.08,88.43,100.00
155,0.0006980142054551533,0.7926,81.95,LDAM,74.28,81.90,77.85,96.07,75.77,71.88,88.35,100.00
156,0.0006944282990207195,0.7919,81.90,LDAM,74.06,82.07,77.74,96.07,75.67,71.67,88.35,94.12
157,0.0006908307077565152,0.7934,81.92,LDAM,74.24,82.21,77.78,96.03,75.66,71.67,88.02,94.12
158,0.0006872216535789157,0.7913,81.90,LDAM,74.32,82.37,77.53,96.05,75.60,71.46,88.02,94.12
159,0.0006836013591113827,0.7912,81.93,LDAM,74.41,82.29,77.63,96.05,75.66,71.25,88.18,94.12
160,0.0006799700476707324,0.7897,82.08,LDAM,75.12,82.29,77.74,96.09,75.79,71.25,88.43,94.12
161,0.000676327943253359,0.7848,82.04,LDAM,75.08,82.29,77.67,96.05,75.81,71.25,88.02,94.12
162,0.0006726752705214194,0.7780,82.14,LDAM,75.17,82.43,77.71,96.11,75.97,71.67,87.93,88.24
163,0.0006690122547889727,0.7912,82.13,LDAM,74.77,82.18,77.63,96.11,76.19,71.46,87.85,88.24
164,0.000665339122008084,0.7958,82.04,LDAM,74.81,82.12,77.67,96.11,75.97,71.04,87.60,88.24
165,0.0006616560987548852,0.7864,81.98,LDAM,74.77,82.21,77.63,96.00,75.86,71.25,87.60,88.24
166,0.000657963412215599,0.7802,82.01,LDAM,74.86,82.09,77.74,95.98,75.95,71.46,87.60,88.24
167,0.0006542612901725255,0.7791,82.05,LDAM,74.68,82.07,77.74,95.96,76.11,71.46,87.60,94.12
168,0.0006505499609899905,0.7776,82.02,LDAM,74.59,82.07,77.88,96.00,75.95,71.67,87.85,88.24
169,0.0006468296536002602,0.7916,81.99,LDAM,74.55,82.07,77.71,95.98,75.94,71.67,87.77,88.24
170,0.0006431005974894186,0.7792,82.01,LDAM,74.37,81.95,77.74,95.98,75.98,72.08,88.35,88.24
171,0.000639363022683212,0.7812,82.01,LDAM,74.50,82.01,77.81,96.02,75.93,71.88,88.18,88.24
172,0.0006356171597328595,0.7802,81.99,LDAM,74.55,82.18,77.60,96.03,75.86,71.46,88.26,88.24
173,0.0006318632397008333,0.7833,82.08,LDAM,74.24,82.32,77.85,96.03,76.07,71.67,87.93,88.24
174,0.000628101494146603,0.7732,82.02,LDAM,74.10,82.12,78.06,96.02,75.98,71.46,87.85,88.24
175,0.0006243321551123542,0.7813,81.95,LDAM,74.06,81.95,77.78,96.03,75.96,71.25,87.93,88.24
176,0.0006205554551086733,0.7812,82.01,LDAM,74.32,81.98,77.85,96.03,76.01,71.04,88.18,88.24
177,0.0006167716271002064,0.7735,82.00,LDAM,74.28,82.01,77.63,96.05,75.96,71.04,88.51,94.12
178,0.0006129809044912887,0.7746,81.97,LDAM,74.19,82.15,77.35,96.05,75.95,70.83,88.60,94.12
179,0.0006091835211115465,0.7703,81.88,LDAM,74.10,81.90,77.38,96.00,75.81,70.62,88.93,94.12
180,0.0006053797112014738,0.7733,81.92,LDAM,74.10,81.79,77.49,96.05,75.88,70.83,88.93,94.12
181,0.0006015697093979835,0.7623,81.87,LDAM,73.93,81.90,77.53,96.02,75.70,71.25,89.09,94.12
182,0.0005977537507199338,0.7676,81.86,LDAM,74.19,81.95,77.38,96.05,75.64,71.25,88.93,94.12
183,0.0005939320705536304,0.7732,81.86,LDAM,74.32,82.15,77.06,96.05,75.59,71.46,88.93,94.12
184,0.0005901049046383077,0.7541,81.93,LDAM,74.59,81.98,77.13,96.09,75.75,71.88,88.68,94.12
185,0.0005862724890515872,0.7491,81.86,LDAM,74.46,82.04,77.13,96.11,75.62,71.25,88.68,94.12
186,0.0005824350601949143,0.7543,81.88,LDAM,74.41,82.15,77.17,96.12,75.55,71.88,88.76,94.12
187,0.000578592854778977,0.7580,81.88,LDAM,74.50,81.98,77.28,96.12,75.59,71.88,88.51,94.12
188,0.0005747461098091035,0.7607,81.89,LDAM,74.32,82.09,77.03,96.09,75.78,71.88,88.35,88.24
189,0.0005708950625706435,0.7681,81.91,LDAM,74.41,82.15,76.88,96.14,75.81,71.46,88.43,88.24
190,0.0005670399506143307,0.7569,82.01,LDAM,74.55,81.90,77.21,96.21,75.98,71.67,88.35,94.12
191,0.0005631810117416298,0.7559,82.06,LDAM,74.46,81.98,77.38,96.25,76.04,71.88,88.35,94.12
192,0.0005593184839900675,0.7653,82.08,LDAM,74.68,82.09,77.38,96.16,76.01,72.08,88.51,94.12
193,0.0005554526056185498,0.7475,82.17,LDAM,74.77,82.18,77.46,96.16,76.19,71.46,88.76,94.12
194,0.0005515836150926646,0.7551,82.20,LDAM,74.77,82.43,77.53,96.12,76.15,71.04,89.01,94.12
195,0.000547711751069972,0.7547,82.16,LDAM,74.77,82.29,77.42,96.14,76.12,70.83,89.01,94.12
196,0.0005438372523852833,0.7542,82.16,LDAM,74.68,82.15,77.67,96.07,76.15,71.25,89.01,94.12
197,0.0005399603580359275,0.7472,82.12,LDAM,74.59,82.07,77.60,96.09,76.11,71.67,89.01,88.24
198,0.0005360813071670102,0.7449,82.22,LDAM,74.41,82.26,77.92,96.12,76.20,72.08,88.93,88.24
199,0.0005322003390566607,0.7545,82.21,LDAM,74.19,82.18,77.78,96.19,76.30,71.88,88.84,88.24
200,0.0005283176931012731,0.7472,82.18,LDAM,74.41,82.04,77.67,96.14,76.30,72.08,88.68,88.24
201,0.000524433608800739,0.7401,82.12,LDAM,74.68,81.70,77.56,96.18,76.22,72.71,88.43,88.24
202,0.0005205483257436735,0.7449,82.17,LDAM,74.86,82.01,77.53,96.07,76.23,73.12,88.51,88.24
203,0.0005166620835926371,0.7512,82.19,LDAM,74.81,82.15,77.38,96.14,76.31,72.71,88.18,88.24
204,0.0005127751220693513,0.7480,82.31,LDAM,75.03,82.35,77.49,96.18,76.47,72.92,87.85,88.24
205,0.0005088876809399121,0.7495,82.31,LDAM,75.21,81.98,77.71,96.14,76.50,73.12,88.02,88.24
206,0.000505,0.7466,82.31,LDAM,75.17,81.95,77.71,96.14,76.56,73.12,87.85,82.35
207,0.000501112319060088,0.7458,82.38,LDAM,75.12,82.09,77.78,96.11,76.62,73.96,88.18,88.24
208,0.0004972248779306489,0.7489,82.32,LDAM,75.12,82.12,77.49,96.18,76.48,73.12,88.35,88.24
209,0.0004933379164073629,0.7408,82.31,LDAM,75.17,82.01,77.46,96.12,76.60,72.92,88.02,88.24
210,0.0004894516742563265,0.7417,82.32,LDAM,74.90,81.81,77.63,96.27,76.61,72.50,88.26,88.24
211,0.0004855663911992611,0.7428,82.29,LDAM,74.94,81.81,77.67,96.23,76.54,72.08,88.35,88.24
212,0.00048168230689872696,0.7412,82.19,LDAM,74.77,81.79,77.56,96.32,76.29,72.71,88.26,88.24
213,0.0004777996609433395,0.7265,82.29,LDAM,74.99,82.07,77.60,96.34,76.32,72.71,88.51,94.12
214,0.0004739186928329899,0.7299,82.21,LDAM,74.99,82.07,77.38,96.27,76.23,72.71,88.43,94.12
215,0.0004700396419640725,0.7136,82.32,LDAM,75.03,82.07,77.53,96.32,76.41,72.92,88.51,94.12
216,0.0004661627476147168,0.7337,82.32,LDAM,74.90,82.12,77.60,96.30,76.47,72.50,88.26,94.12
217,0.000462288248930028,0.7365,82.32,LDAM,75.12,82.35,77.35,96.23,76.46,72.71,88.18,94.12
218,0.00045841638490733545,0.7227,82.23,LDAM,74.81,82.23,77.42,96.18,76.38,72.08,88.10,88.24
219,0.00045454739438145026,0.7277,82.23,LDAM,74.46,82.07,77.46,96.25,76.46,72.29,88.35,88.24
220,0.0004506815160099326,0.7287,82.33,LDAM,74.86,81.98,77.78,96.27,76.53,72.71,88.26,88.24
221,0.00044681898825837046,0.7250,82.36,LDAM,74.72,81.95,77.81,96.23,76.67,72.29,88.51,88.24
222,0.0004429600493856695,0.7164,82.40,LDAM,74.68,82.07,77.99,96.18,76.75,71.88,88.51,88.24
223,0.0004391049374293567,0.7290,82.45,LDAM,74.86,82.15,78.17,96.28,76.65,71.67,88.76,88.24
224,0.0004352538901908967,0.7124,82.46,LDAM,75.08,81.98,78.17,96.28,76.70,72.29,88.43,88.24
225,0.00043140714522102317,0.7178,82.49,LDAM,74.94,81.87,78.06,96.32,76.83,72.50,88.76,88.24
226,0.00042756493980508576,0.7205,82.50,LDAM,74.86,82.04,77.92,96.32,76.85,72.50,88.84,88.24
227,0.0004237275109484128,0.7189,82.56,LDAM,75.30,81.98,78.06,96.28,76.96,72.08,88.68,88.24
228,0.0004198950953616922,0.7197,82.49,LDAM,75.08,81.79,78.21,96.25,76.84,72.71,88.68,88.24
229,0.0004160679294463697,0.7214,82.45,LDAM,74.77,82.07,78.06,96.27,76.72,72.71,88.68,88.24
230,0.0004122462492800663,0.7116,82.53,LDAM,74.72,82.15,78.06,96.27,76.96,72.92,88.43,88.24
231,0.00040843029060201656,0.7111,82.48,LDAM,74.68,82.26,78.06,96.27,76.75,73.33,88.35,88.24
232,0.0004046202887985264,0.7021,82.48,LDAM,74.68,82.37,78.10,96.25,76.71,72.50,88.68,88.24
233,0.0004008164788884538,0.7187,82.40,LDAM,74.59,82.23,78.10,96.27,76.57,71.88,88.84,88.24
234,0.0003970190955087116,0.6991,82.38,LDAM,74.59,82.04,77.99,96.30,76.54,72.71,88.93,88.24
235,0.00039322837289979386,0.7039,82.44,LDAM,74.77,82.26,78.10,96.32,76.57,72.29,88.76,88.24
236,0.0003894445448913268,0.7093,82.39,LDAM,74.90,82.23,78.14,96.25,76.45,72.08,88.76,88.24
237,0.0003856678448876458,0.7042,82.49,LDAM,75.08,82.29,78.21,96.21,76.67,72.08,88.76,88.24
238,0.00038189850585339686,0.7042,82.46,LDAM,74.90,82.35,78.35,96.23,76.53,72.92,88.60,88.24
