Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,CKplusIm Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,KDEFFormated Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
51,0.0007959536998847742,1.1162,80.26,73.17,88.46,80.72,77.42,92.64,84.93,74.11,72.08,86.61,76.47
52,0.0007875032160037938,1.1209,80.51,73.04,88.46,80.66,77.92,92.98,86.36,74.39,72.29,86.78,82.35
53,0.0007789288168754553,1.1180,80.76,73.35,88.46,80.94,78.24,93.23,85.41,74.66,72.29,87.11,88.24
54,0.0007702342635146033,1.1123,80.86,73.62,88.46,81.11,78.03,93.37,85.41,74.70,73.12,87.27,88.24
55,0.0007614233696396995,1.1139,81.00,73.75,88.46,81.03,78.06,93.63,86.36,74.88,73.33,87.36,88.24
56,0.0007525,1.1103,81.13,73.93,92.31,81.17,78.06,93.74,87.08,74.90,74.17,87.85,88.24
57,0.000743468068680349,1.1152,81.28,73.97,96.15,81.11,78.17,93.85,87.56,75.15,75.00,88.02,88.24
58,0.0007343315373843317,1.0986,81.38,74.32,96.15,81.31,78.14,93.99,87.56,75.21,74.38,88.02,94.12
59,0.0007250944136965391,1.1054,81.46,74.63,96.15,81.45,77.96,94.24,87.56,75.25,74.38,87.69,94.12
60,0.000715760749324711,1.0871,81.50,74.68,96.15,81.50,78.28,94.36,87.56,75.11,74.17,87.85,94.12
61,0.0007063346383225211,1.1019,81.55,74.72,96.15,81.56,78.21,94.54,87.56,75.14,74.17,87.85,94.12
62,0.000696820215293791,1.1036,81.61,74.90,96.15,81.53,78.60,94.67,87.08,75.14,74.38,87.27,100.00
63,0.0006872216535789157,1.0937,81.60,74.72,96.15,81.67,78.35,94.65,87.32,75.19,74.38,87.27,100.00
64,0.0006775431634242986,1.0855,81.61,74.68,96.15,81.67,78.39,94.70,87.08,75.20,74.17,87.36,100.00
65,0.0006677889901355987,1.0880,81.65,74.59,96.15,81.59,78.35,94.75,87.80,75.30,74.38,87.36,100.00
66,0.000657963412215599,1.0933,81.69,74.37,96.15,81.70,78.42,94.75,88.04,75.41,73.96,87.44,100.00
67,0.0006480707394875135,1.0820,81.64,74.41,96.15,81.53,78.39,94.84,88.52,75.26,73.75,87.52,100.00
68,0.0006381153112045566,1.0871,81.70,74.41,96.15,81.45,78.56,94.86,88.28,75.40,73.96,87.44,100.00
69,0.000628101494146603,1.0645,81.73,74.32,96.15,81.64,78.53,94.93,89.00,75.36,73.75,87.44,100.00
70,0.0006180336807047746,1.0754,81.74,74.37,96.15,81.70,78.53,94.93,89.23,75.36,73.96,87.36,100.00
71,0.0006079162869547909,1.0762,81.75,74.37,96.15,81.67,78.35,94.91,89.00,75.44,74.38,87.44,100.00
72,0.0005977537507199338,1.0741,81.78,74.41,96.15,81.81,78.31,94.90,89.47,75.42,74.38,87.85,94.12
73,0.0005875505296244706,1.0807,81.82,74.55,96.15,81.98,78.28,94.90,89.71,75.46,74.38,87.60,94.12
74,0.0005773110991383938,1.0656,81.85,74.77,96.15,81.81,78.31,94.90,89.71,75.51,74.58,87.77,94.12
75,0.0005670399506143306,1.0585,81.85,74.50,96.15,82.01,78.49,95.04,89.71,75.41,73.75,87.77,94.12
76,0.0005567415893174886,1.0692,81.87,74.55,96.15,81.93,78.35,95.11,89.23,75.48,74.17,87.77,94.12
77,0.0005464205324494962,1.0587,81.92,74.63,96.15,82.07,78.39,95.22,89.23,75.48,73.96,87.77,94.12
78,0.0005360813071670102,1.0587,81.93,74.86,96.15,81.93,78.17,95.20,90.43,75.52,73.96,87.69,94.12
79,0.0005257284485959539,1.0460,82.05,74.72,96.15,82.12,78.31,95.27,89.95,75.72,73.96,88.02,94.12
80,0.0005153664978422617,1.0584,82.03,74.63,96.15,82.15,78.42,95.32,90.19,75.58,73.96,88.10,100.00
81,0.000505,1.0470,82.05,74.86,96.15,82.04,78.60,95.34,90.19,75.52,74.17,88.26,100.00
82,0.0004946335021577384,1.0567,82.09,74.94,96.15,81.93,78.42,95.39,90.19,75.73,74.17,87.77,100.00
83,0.0004842715514040462,1.0312,82.12,74.86,96.15,82.01,78.60,95.47,90.43,75.74,73.96,87.60,100.00
84,0.00047391869283299,1.0478,82.17,74.81,96.15,82.15,78.46,95.50,90.67,75.82,73.96,87.69,100.00
85,0.00046357946755050383,1.0460,82.11,74.77,96.15,82.01,78.24,95.52,90.91,75.75,73.96,87.93,100.00
86,0.00045325841068251166,1.0407,82.19,75.08,96.15,82.26,78.35,95.52,91.15,75.72,73.75,88.26,100.00
87,0.0004429600493856695,1.0322,82.21,74.94,96.15,82.40,78.60,95.54,90.91,75.67,73.54,88.26,100.00
88,0.0004326889008616064,1.0342,82.26,74.94,96.15,82.54,78.71,95.52,90.91,75.74,73.33,88.35,94.12
89,0.0004224494703755293,1.0274,82.27,75.03,96.15,82.43,78.81,95.55,90.67,75.77,73.33,88.18,94.12
90,0.0004122462492800663,1.0264,82.36,75.21,96.15,82.57,79.03,95.57,90.43,75.83,73.54,88.35,94.12
91,0.0004020837130452091,1.0368,82.38,75.12,96.15,82.54,79.06,95.54,90.19,75.89,73.96,88.60,94.12
92,0.0003919663192952255,1.0225,82.43,75.21,96.15,82.43,79.10,95.54,89.95,76.00,73.96,88.93,100.00
93,0.00038189850585339697,1.0152,82.48,75.39,96.15,82.40,79.24,95.54,89.95,76.05,74.17,88.93,100.00
94,0.00037188468879544365,1.0059,82.49,75.25,96.15,82.49,79.03,95.57,89.71,76.17,74.17,88.68,94.12
95,0.0003619292605124865,1.0177,82.57,75.34,96.15,82.60,79.39,95.61,89.47,76.26,73.33,88.68,94.12
96,0.0003520365877844011,0.9983,82.52,75.34,96.15,82.63,79.28,95.54,89.23,76.22,73.75,88.43,94.12
97,0.0003422110098644013,0.9939,82.55,75.03,96.15,82.77,79.14,95.71,89.95,76.27,73.33,88.35,88.24
98,0.0003324568365757016,1.0013,82.53,75.43,96.15,82.35,79.10,95.70,90.19,76.25,73.54,88.43,88.24
99,0.00032277834642108455,1.0072,82.60,75.56,96.15,82.54,79.24,95.77,90.19,76.23,73.96,88.51,88.24
100,0.00031317978470620905,0.9989,82.62,75.56,96.15,82.35,79.31,95.91,90.19,76.24,73.96,88.60,94.12
101,0.0003036653616774789,0.9791,82.58,75.61,96.15,82.35,79.10,96.02,89.47,76.15,73.54,88.68,94.12
102,0.0002942392506752891,0.9927,82.56,75.74,96.15,82.21,78.99,95.96,89.23,76.18,73.54,88.76,100.00
103,0.00028490558630346103,0.9967,82.55,76.01,96.15,82.18,78.99,95.96,90.19,76.09,72.92,88.51,100.00
104,0.00027566846261566856,0.9741,82.61,76.01,96.15,82.26,78.85,96.02,90.43,76.26,72.29,88.76,94.12
105,0.0002665319313196509,0.9842,82.60,76.14,96.15,82.15,78.71,96.02,90.91,76.27,72.29,88.76,94.12
106,0.0002574999999999999,0.9791,82.60,76.05,96.15,82.23,78.96,96.02,90.67,76.22,72.50,88.51,94.12
107,0.0002485766303603006,0.9683,82.69,76.05,96.15,82.40,78.85,96.02,90.91,76.40,72.50,88.60,94.12
108,0.00023976573648539675,0.9679,82.78,76.36,96.15,82.82,78.74,96.00,91.39,76.46,72.29,88.51,94.12
109,0.00023107118312454473,0.9680,82.80,76.18,96.15,82.88,78.64,96.05,91.63,76.52,72.29,88.43,100.00
110,0.00022249678399620637,0.9536,82.84,75.96,96.15,82.96,78.74,96.11,91.39,76.57,72.50,88.60,94.12
111,0.00021404630011522585,0.9469,82.76,75.96,96.15,82.91,78.56,96.09,91.15,76.50,72.08,88.51,94.12
112,0.00020572343814312445,0.9576,82.73,75.83,96.15,82.71,78.35,96.09,91.39,76.56,72.50,88.43,94.12
113,0.0001975318487622364,0.9394,82.76,75.92,96.15,82.77,78.49,96.11,91.39,76.49,72.71,88.68,94.12
114,0.00018947512507439858,0.9365,82.85,76.10,96.15,82.99,78.53,96.07,91.63,76.60,73.54,88.51,94.12
115,0.00018155680102489795,0.9467,82.81,75.48,96.15,82.91,78.60,96.11,91.63,76.65,73.12,88.51,94.12
116,0.00017378034985236518,0.9320,82.86,75.74,96.15,82.77,78.56,96.16,91.63,76.77,72.92,88.68,94.12
117,0.00016614918256529907,0.9338,82.86,76.14,96.15,82.80,78.31,96.21,91.87,76.76,72.71,88.35,88.24
118,0.00015866664644588412,0.9226,82.80,75.96,96.15,82.91,78.42,96.23,91.87,76.57,72.08,88.35,88.24
119,0.00015133602358176245,0.9350,82.82,75.74,96.15,82.94,78.46,96.23,92.34,76.60,72.92,88.26,82.35
120,0.0001441605294264014,0.9202,82.94,75.96,96.15,82.96,78.49,96.30,92.34,76.77,72.92,88.51,88.24
121,0.0001371433113886898,0.9193,82.84,75.48,96.15,82.80,78.53,96.34,92.58,76.63,73.54,88.26,88.24
122,0.00013028744745238063,0.9103,82.87,75.48,96.15,82.82,78.42,96.32,92.11,76.80,72.92,88.35,88.24
123,0.00012359594482598438,0.9130,82.92,75.39,96.15,82.60,78.49,96.35,92.11,76.93,73.54,88.68,88.24
124,0.00011707173862370933,0.9048,82.92,75.52,96.15,82.66,78.60,96.41,92.11,76.79,73.54,88.76,88.24
125,0.00011071769057802291,0.9057,82.94,75.61,96.15,82.74,78.64,96.35,92.11,76.80,73.75,88.93,88.24
126,0.00010453658778440107,0.8959,82.98,75.43,96.15,82.85,78.64,96.35,92.11,76.93,73.54,88.84,88.24
127,9.85311414788165e-05,0.8848,82.94,75.52,96.15,82.63,78.42,96.41,91.87,76.91,73.75,88.84,88.24
128,9.270398584850079e-05,0.8994,82.97,75.34,96.15,82.91,78.53,96.41,91.63,76.90,73.96,89.01,82.35
129,8.705767687650254e-05,0.9005,82.99,75.21,96.15,83.02,78.56,96.48,91.87,76.85,74.38,89.01,82.35
130,8.159469122054923e-05,0.8861,82.97,75.25,96.15,82.91,78.46,96.46,92.34,76.85,74.58,88.84,82.35
131,7.631742512670295e-05,0.8826,83.04,75.61,96.15,83.02,78.35,96.46,92.11,76.98,74.38,88.76,82.35
132,7.122819337828752e-05,0.8869,83.08,75.65,96.15,83.05,78.46,96.51,92.34,76.98,74.58,88.93,82.35
133,6.632922828054871e-05,0.8834,83.03,75.61,96.15,82.88,78.64,96.48,92.34,76.91,74.17,88.76,82.35
134,6.162267868149073e-05,0.8774,83.00,75.48,100.00,82.80,78.53,96.50,92.34,76.89,73.75,89.17,82.35
135,5.711060902932042e-05,0.8798,82.97,75.56,100.00,82.66,78.64,96.53,92.34,76.78,73.33,89.17,82.35
