epoch,train_loss,eval_loss,train_acc,eval_acc
5,0.4099371826783584,0.3348891560101913,0.6688162297824874,0.7554536390827518
10,0.3337610047415959,0.29322552610727276,0.699570751334555,0.7867597208374876
15,0.2962755176562464,0.2757298441090113,0.7123187395426659,0.7959322033898305
20,0.25960640925428763,0.2732162782416149,0.7336118635965262,0.8043070787637089
25,0.23024965344591547,0.2732299674193144,0.7400107561150506,0.8049052841475574
30,0.21018657545251834,0.275350818811718,0.7552983825989961,0.8073778664007976
35,0.18845201459821692,0.28671470843307517,0.7608357899768943,0.8097706879361914
40,0.1636660277627396,0.2850131549851844,0.7870538204127161,0.8115254237288135
45,0.15613814942172471,0.33337258542404097,0.7982780256553262,0.8074177467597209
50,0.1363807294878976,0.34856333868453654,0.7984174567763525,0.8074975074775673
55,0.13060692215206118,0.3530877388949884,0.813705083260298,0.8089332003988036
60,0.11923809359569149,0.3761906997465778,0.813535774041909,0.8132402791625125
65,0.11244017099373209,0.30947351273249535,0.8289777706955621,0.8106081754735792
70,0.1024845128091063,0.4318889314786031,0.831676758823998,0.8120039880358924
75,0.09468506403079205,0.3672984899195693,0.8391861206278384,0.8128813559322033
80,0.09924589156817772,0.34232897679506247,0.8258405704724723,0.8099700897308075
85,0.08906608413922418,0.44986651306078657,0.8329515576448092,0.8080957128614158
90,0.08455706468431819,0.3403527706077068,0.84324456218628,0.8170289132602193
95,0.0771406067933158,0.4502514359720445,0.8531342124133535,0.8168693918245264
100,0.07773986087451441,0.4428436138801061,0.853049557804159,0.8115653040877367
105,0.07924300236605941,0.4319623239934147,0.8638903274639471,0.8141974077766699
110,0.07502468728726983,0.33669955297576587,0.8563361485140626,0.8206979062811566
115,0.07591222096712427,0.5057205452784108,0.8481893872998167,0.8153938185443669
120,0.0730234976846325,0.4398137369291376,0.8565950920245399,0.8167497507477567
125,0.07336474372988634,0.3550800181255265,0.8575213130427854,0.81678963110668
130,0.0662518388391878,0.5200574172095787,0.8598169468568242,0.8172681954137587
135,0.06303494891804624,0.4219778980203307,0.8713797705362123,0.8193020937188434
140,0.06584371621494545,0.40370360845701764,0.8738994900804716,0.8195812562313061
145,0.0584820258592083,0.43956639658893687,0.8721864791650068,0.8196211365902293
150,0.06167268212115179,0.32770247368311,0.8740040634212414,0.8207377866400798
155,0.05737286328745313,0.3764859304298551,0.8717333280216716,0.8213758723828515
160,0.04862105578886311,0.36469618681539684,0.8732869890845351,0.8204985044865404
165,0.05484510414379075,0.35047945482424225,0.8828280615090431,0.8215752741774676
170,0.05738818833724887,0.34971204090807756,0.8797854752609354,0.8228913260219342
175,0.05458561878661546,0.4033201303047055,0.8828678989721934,0.8229710867397807
180,0.05373944020510651,0.42674822421040637,0.859941438929169,0.8237686939182453
185,0.05385121832878949,0.3592762108505188,0.8814735877619313,0.8241276171485543
190,0.057319455987375145,0.40994723589684173,0.8712353597322923,0.8241276171485543
195,0.05028012162011374,0.4829224113904586,0.8714644251454068,0.8242472582253241
200,0.049558054975586956,0.40586481263725493,0.8772757150824636,0.8240079760717847
