Epoch,LR,Train Loss,Train Acc,Val Loss,Val Acc
1,0.0001,1.0318403531860203,39.286588078291814,1.8328365707482535,15.611061552185548
2,0.00408,0.9333826427888191,42.76523576512456,1.7915267922004134,16.23550401427297
3,0.00806,0.597436825225786,59.00300266903915,1.453780370349867,43.66636931311329
4,0.012039999999999999,0.45904153165974226,64.869884341637,1.3489713964453773,52.25245316681534
5,0.01602,0.4297825390042147,66.30393683274022,1.3221294303540136,53.94736842105263
6,0.02,0.42453218578125657,66.45851868327402,1.3580218756124445,51.82872435325602
7,0.019921186439638208,0.42968173832549744,66.22442170818505,1.3224082180796513,54.68331846565567
8,0.019685988695480668,0.42931677575929095,66.62533362989323,1.3361840298088612,53.88046387154326
9,0.019298115976453072,0.4270507043950074,66.58696619217082,1.3459045336142275,53.14451382694023
10,0.018763685267038414,0.4208716236545416,66.76323398576513,1.3553585745626853,54.973238180196255
11,0.0180911248587776,0.41666921657440503,66.52190836298932,1.3307983359516358,54.995539696699375
12,0.017291041431077007,0.411840997646924,67.4010231316726,1.3262889568131486,56.19982158786797
13,0.016376052777538154,0.40768088530682794,67.83974644128114,1.3299379096724537,54.750223015165034
14,0.015360588815815071,0.3996462286406883,67.75411476868328,1.3161004422819051,55.35236396074933
15,0.014260664019192902,0.3911644167747362,68.10275800711744,1.3268926540833301,55.10704727921499
16,0.0130936248587776,0.38445384491009643,68.93127224199289,1.3402069670934957,55.64228367528992
17,0.01187787623928432,0.3785671772070733,69.08196174377224,1.3183478061159628,56.17752007136485
18,0.010632591242695489,0.3684479368936761,69.44839857651246,1.3285989548136994,55.30776092774309
19,0.009377408757304513,0.359788518520967,69.93772241992883,1.3071701644149665,57.537912578055305
20,0.008132123760715683,0.3485366630145876,70.51990658362989,1.3326075294526105,55.909901873327385
21,0.006916375141222403,0.33719668913089085,71.18772241992883,1.3301230089989866,56.06601248884924
22,0.005749335980807098,0.3258680791497973,71.54971085409252,1.3151720363470616,56.378233719892954
23,0.004649411184184926,0.31262332674553384,71.94895462633453,1.3091873381416463,56.779661016949156
24,0.003633947222461846,0.2961737206139439,72.76857206405694,1.3048063378904038,56.53434433541481
25,0.002718958568922994,0.27815453645001,73.61098754448399,1.3157507947361118,57.93933987511151
