Epoch,LR,Train Loss,Train Acc,Val Loss,Val Acc
5,0.03,0.9720379936420133,0.5728420549668009,0.9671016764378301,0.6513520077720207
10,0.029994773128032736,0.8306259887287246,0.6260012711692503,0.7705055112936028,0.7214216321243523
15,0.029979096154823005,0.7875061166199255,0.6409487790915197,0.7325343284852456,0.734982189119171
20,0.02995298000590839,0.785494425879678,0.6490175484464238,0.7249136907024396,0.7403659326424871
25,0.029916442882057775,0.7600803020600763,0.6599667332302575,0.6626817041457934,0.7614151554404145
30,0.029869510246586954,0.7477682460911828,0.6652903179275433,0.7127851213333366,0.7406492875647669
35,0.02981221480761282,0.7528566407290481,0.6505681946241261,0.7151839804155221,0.7402040155440415
40,0.029744596495258537,0.7564115395307072,0.6553418408514129,0.6931345439057585,0.7472069300518135
45,0.02966670243382562,0.7382522531365482,0.6658132102432801,0.664722621981344,0.7562338082901554
50,0.02957858690895222,0.7470498616198465,0.669063256447127,0.6308280326802419,0.7719802461139896
55,0.029480311329780587,0.7348742810083981,0.662743471734515,0.6541894049205156,0.7647344559585493
60,0.029371944186160025,0.7243718673128562,0.6688243487511438,0.6988295342946917,0.7468830958549223
65,0.029253561000915234,0.7227125632146182,0.670920425706468,0.6278805274883082,0.778214054404145
70,0.02912524427721318,0.7113854713240538,0.6755543334700667,0.6694628631628547,0.7588649611398963
75,0.028987083441065337,0.7237982504551379,0.6694238718372904,0.7373894117193519,0.7330391839378239
80,0.028839174779005248,0.7170689560249189,0.6742155488340854,0.688616278759865,0.7533193005181347
85,0.02868162137098482,0.7117579158335395,0.671231456480484,0.6497368925284845,0.7636819948186528
90,0.02851453301853629,0.7095519924200843,0.6700594564624531,0.6236976112185982,0.7778902202072538
95,0.028338026168249722,0.7104482402048373,0.6782048565877671,0.6750291054923608,0.7563552461139896
100,0.02815222383061949,0.694696313579703,0.6755768719319519,0.6895061880253602,0.7488261010362695
105,0.027957255494316248,0.6877818725304301,0.6837718566734132,0.8198903339668877,0.702922603626943
110,0.02775325703594422,0.6830718784104801,0.6849889336152144,0.6963409511999763,0.7521049222797928
115,0.02754037062534652,0.6900627981577548,0.6751756873103952,0.6853513276407138,0.7527930699481865
120,0.027318744626524703,0.6771470062542784,0.6874321028835708,0.6729448011502083,0.7536836139896373
125,0.02708853349424152,0.6729851183787242,0.6863818105597201,0.657230538296769,0.7596340673575129
130,0.026849897666378814,0.5595062203053962,0.7262015308192317,0.6932456762640896,0.7543717616580311
135,0.02660300345212579,0.6637729513012268,0.6968022286131571,0.7036176685514073,0.7468830958549223
140,0.026348022916075433,0.677477266858748,0.6814083897548706,0.6307472985894106,0.7703610751295337
145,0.02608513375830988,0.6760926321035354,0.6860648569702762,0.6333646836444504,0.771211139896373
150,0.02581451919055837,0.6642234492979661,0.692650625219751,0.6423435865399558,0.7699562823834197
155,0.025536367808513975,0.6620203504319835,0.6965317658513717,0.690650101615975,0.748380829015544
160,0.025250873460398227,0.6575617961199763,0.691649913001145,0.6788263564128332,0.7541288860103627
165,0.024958235111865124,0.6493024213458005,0.6983348509299411,0.6700075827731987,0.7562742875647669
170,0.024658656707338737,0.6587932246462229,0.7006382921178136,0.6942471686769952,0.7480165155440415
175,0.024352347027881003,0.6452236425001686,0.6918752986359661,0.6075342051067192,0.7781735751295337
180,0.024039519545688844,0.6438162090567254,0.6977127865778346,0.629998409792472,0.7767163212435233
185,0.023720392275321894,0.6466877618582156,0.6916949901281092,0.7135829712442784,0.7443329015544041
190,0.023395187621764624,0.6421848040762369,0.6945258337014633,0.6622101306297619,0.7601602979274611
195,0.02306413222542866,0.6371231418106641,0.6949540664076235,0.6528736418257878,0.7667179404145078
200,0.022727456804203437,0.6389989424639122,0.6969013982924784,0.651701460481462,0.7658678756476683
205,0.022385395992665126,0.6315682071437538,0.69544991480423,0.6921453506256323,0.7523882772020726
210,0.022038188178555986,0.6211712268624964,0.6958105318199439,0.6450707990425238,0.7710897020725389
215,0.02168607533664807,0.6119844414755023,0.7066019960151819,0.6336538063005154,0.776473445595855
220,0.02132930286010706,0.6140964652989412,0.7144679546704411,0.6639378984396013,0.7646534974093264
225,0.020968119389473804,0.6061624727185436,0.7143778004165127,0.61306975289716,0.7865527849740933
230,0.02060277663938266,0.6105554692487555,0.7033609505864534,0.659689563234853,0.7673656088082902
235,0.020233529223137488,0.6038385082749167,0.7095320092678573,0.6498943712813249,0.7724659974093264
240,0.019860634475267477,0.610237446442687,0.7079182481225377,0.6698330977420115,0.764613018134715
245,0.01948435227218655,0.5989407450722418,0.7167939344217957,0.6488495970366841,0.7714944948186528
250,0.019104944851081235,0.5898710833066038,0.7125566844871575,0.6937688395882826,0.7582172927461139
255,0.018722676627153347,0.5837092860658475,0.7114568025892302,0.6795289158975523,0.7585816062176166
260,0.018337814009344703,0.5802807318504504,0.7133725804852102,0.6562188660503978,0.7693086139896373
265,0.017950625214672417,0.5746874138157386,0.7167533650075278,0.6591705038487293,0.766434585492228
270,0.017561380081304048,0.5646918471149799,0.7247410319055905,0.6144185225850869,0.7862694300518135
275,0.017170349880503092,0.5637517280731482,0.7167353341567422,0.6363697847438291,0.7759067357512953
