Epoch,LR,Train Loss,Train Acc,Val Loss,Val Acc
1,0.0001,1.018245095540799,42.35069244085401,1.8610673314433988,15.611061552185548
2,0.00208,0.9598040080748056,43.061616416618584,1.8689603903376557,15.611061552185548
3,0.00406,0.7132968551082138,54.143374927870745,1.6875095750262543,32.40410347903657
4,0.00604,0.5947559103778141,58.64469128678592,1.6453362543810488,36.28456735057984
5,0.00802,0.5644177162468399,60.136865262550494,1.6258893234191676,39.451382694023195
6,0.01,0.5436135853301632,60.97942512983266,1.6270726126926909,40.20963425512935
7,0.009960612933065818,0.5299160450533574,61.800346220427,1.6295796988480438,40.72256913470116
8,0.009843072889837512,0.5167427569890015,62.64290608770917,1.6175023245024531,42.12756467439786
9,0.009649233547011816,0.5069207624976716,62.6316358915176,1.6131851333363794,42.35057983942908
10,0.009382151866819097,0.5016301827697622,62.95621754183497,1.606667327306613,42.462087421944695
11,0.009046039886902862,0.4960836046265166,63.64460112521639,1.623263885462316,42.14986619090098
12,0.008646198293969952,0.4900752408370866,63.536858049624925,1.6062045300464136,43.68867082961641
13,0.008188932828794706,0.485979132786333,64.18872619734564,1.6105399282780426,43.84478144513827
14,0.007681454840920088,0.4820916807215577,64.31495239469129,1.6173501461345525,43.577163247100806
15,0.007131767561367538,0.4790264499936397,64.38572922677437,1.6176309656288663,43.153434433541484
16,0.006548539886902863,0.4764154456014139,64.2513884881708,1.6190020384052628,43.73327386262266
17,0.005940969666355695,0.47191918683891276,64.70895845354876,1.6185977741823359,43.06422836752899
18,0.005318638645048921,0.47210972548494157,64.79280871321409,1.6078329394695272,43.175735950044604
19,0.00469136135495108,0.4680108177678233,64.61564122908251,1.5989542796503318,43.577163247100806
20,0.004069030333644305,0.46280947980883147,65.07726846508945,1.5923677519110033,43.644067796610166
21,0.0034614601130971393,0.45953518613115324,65.20124062319677,1.599061541638132,44.20160570918822
22,0.0028782324386324625,0.4547547965605549,65.6006563762262,1.5930480573136927,44.24620874219447
23,0.0023285451590799107,0.4538491840006228,65.68630986728218,1.600618968416175,43.73327386262266
24,0.001821067171205295,0.4499769618856171,66.08031592613965,1.5955442294917077,44.1793041926851
25,0.0013638017060300506,0.4474286380112687,65.9869987016734,1.5866909279129955,44.15700267618198
