Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
60,0.00047116135047656357,1.1469,78.63,69.50,77.66,74.96,92.82,72.96,68.54,85.62,88.24
61,0.00046969513661074654,1.1315,78.69,69.54,77.58,75.17,92.91,72.98,68.75,85.70,88.24
62,0.0004681950198940338,1.1410,78.73,69.59,77.41,75.38,93.03,72.97,68.96,85.95,88.24
63,0.00046666123721224464,1.1412,78.72,70.03,77.52,74.92,93.10,72.83,68.96,86.20,88.24
64,0.00046509403076744484,1.1387,78.65,70.03,77.41,75.10,92.99,72.79,68.33,85.95,88.24
65,0.00046349364803969953,1.1291,78.78,70.16,77.32,75.63,93.19,72.77,68.75,86.36,88.24
66,0.0004618603417479937,1.1284,78.79,70.34,77.10,75.63,93.24,72.84,68.54,86.20,88.24
67,0.00046019436981032476,1.1283,78.78,70.34,77.18,75.56,93.28,72.80,68.96,85.95,88.24
68,0.0004584959953029741,1.1358,79.00,70.03,77.52,75.78,93.40,73.18,69.58,85.87,88.24
69,0.0004567654864189647,1.1282,78.93,70.16,77.04,75.74,93.35,73.22,68.96,85.95,82.35
70,0.0004550031164257101,1.1066,78.96,70.78,77.07,75.71,93.42,72.99,69.58,86.45,82.35
71,0.00045320916362186214,1.1168,78.98,71.00,77.15,75.71,93.33,72.99,69.79,86.61,82.35
72,0.0004513839112933648,1.1210,78.97,70.61,77.10,75.46,93.44,73.14,69.17,86.53,82.35
73,0.0004495276476687196,1.1135,78.98,70.52,77.10,75.74,93.37,73.15,69.17,86.36,82.35
74,0.0004476406658734716,1.1246,78.88,70.47,77.10,75.60,93.39,73.00,68.33,86.12,82.35
75,0.00044572326388392077,1.1179,79.04,70.78,77.10,75.60,93.47,73.21,69.38,86.61,82.35
76,0.00044377574448006834,1.1030,79.11,71.14,77.24,75.85,93.53,73.18,68.96,86.45,82.35
77,0.00044179841519780477,1.1149,79.15,71.23,77.13,75.81,93.39,73.36,69.58,86.69,82.35
78,0.0004397915882803455,1.1052,79.20,70.92,77.32,75.71,93.53,73.47,69.58,86.36,94.12
79,0.00043775558062892467,1.1019,79.32,71.00,77.66,75.74,93.69,73.55,69.38,86.36,94.12
80,0.0004356907137527526,1.1020,79.29,70.69,77.66,75.67,93.67,73.57,69.17,86.45,94.12
81,0.00043359731371824586,1.0933,79.33,71.18,77.66,75.74,93.65,73.50,70.00,86.45,94.12
82,0.00043147571109753715,1.1036,79.32,71.58,77.66,75.63,93.60,73.44,70.42,86.36,88.24
83,0.000429326240916275,1.0852,79.29,71.23,77.66,75.88,93.71,73.33,69.79,86.28,88.24
84,0.0004271492426007181,1.1099,79.32,71.71,77.52,75.88,93.79,73.28,70.00,86.36,82.35
